,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
17,2005.0,White Sox,2208.0,6146.0,200.0,741.0,713.0,137.0,0.071,0.163,0.163,0.286,0.262,0.322,0.425,0.324,95.0,,-1.9,-42.1,13.8,18.0,99.0,63.0,54.0,574.0,162.0,1475.2,1040.0,6.34,2.8,1.02,0.275,0.754,0.436,0.105,3.61,4.12,4.14,23.0,99
18,2005.0,Yankees,2319.0,6406.0,229.0,886.0,847.0,84.0,0.099,0.154,0.174,0.297,0.276,0.355,0.45,0.35,116.0,,-3.4,118.5,-160.9,17.4,95.0,67.0,46.0,580.0,162.0,1430.2,985.0,6.2,2.91,1.03,0.297,0.691,0.47,0.10099999999999999,4.54,4.28,4.36,15.2,95
19,2005.0,Nationals,2352.0,6142.0,117.0,639.0,615.0,45.0,0.08,0.177,0.134,0.293,0.252,0.322,0.386,0.309,88.0,,-16.4,-112.9,78.8,16.6,81.0,81.0,51.0,632.0,162.0,1458.0,997.0,6.15,3.33,0.86,0.29,0.745,0.402,0.083,3.87,4.16,4.51,14.5,81
20,2005.0,Mariners,2258.0,6095.0,130.0,699.0,657.0,102.0,0.076,0.162,0.136,0.289,0.256,0.317,0.391,0.309,90.0,,7.1,-66.3,-3.2,13.7,69.0,93.0,39.0,595.0,162.0,1427.2,892.0,5.62,3.13,1.13,0.287,0.72,0.414,0.099,4.49,4.56,4.68,9.3,69
21,2005.0,Dodgers,2351.0,6134.0,149.0,685.0,653.0,58.0,0.08800000000000001,0.17800000000000002,0.142,0.29,0.253,0.326,0.395,0.317,91.0,,-21.4,-93.4,29.0,13.6,71.0,91.0,40.0,620.0,162.0,1427.1,1004.0,6.33,2.97,1.15,0.285,0.708,0.45899999999999996,0.12,4.38,4.4,4.2,11.3,71
22,2005.0,Pirates,2289.0,6221.0,139.0,680.0,656.0,73.0,0.076,0.17600000000000002,0.141,0.297,0.259,0.322,0.4,0.315,89.0,,-5.0,-91.3,22.8,13.4,67.0,95.0,35.0,613.0,162.0,1436.0,958.0,6.0,3.84,1.02,0.29,0.716,0.439,0.10300000000000001,4.44,4.57,4.6,7.2,67
23,2005.0,Twins,2235.0,6192.0,134.0,688.0,644.0,102.0,0.078,0.158,0.132,0.291,0.259,0.323,0.391,0.312,89.0,,-14.5,-96.1,18.6,13.2,83.0,79.0,44.0,558.0,162.0,1464.1,965.0,5.93,2.14,1.04,0.283,0.736,0.451,0.10300000000000001,3.72,4.0,4.04,19.0,83
24,2005.0,Giants,2360.0,6077.0,128.0,649.0,617.0,71.0,0.071,0.14800000000000002,0.135,0.29,0.261,0.319,0.396,0.312,86.0,,-13.9,-121.6,53.1,13.0,75.0,87.0,46.0,673.0,162.0,1444.1,972.0,6.06,3.69,0.94,0.289,0.716,0.42200000000000004,0.09,4.35,4.35,4.59,11.7,75
25,2005.0,Diamondbacks,2370.0,6327.0,191.0,696.0,670.0,67.0,0.096,0.17300000000000001,0.165,0.285,0.256,0.332,0.421,0.328,91.0,,1.3,-71.2,-10.7,12.4,77.0,85.0,45.0,620.0,162.0,1456.1,1038.0,6.41,3.32,1.19,0.303,0.693,0.45399999999999996,0.129,4.87,4.55,4.25,11.9,77
26,2005.0,Rockies,2302.0,6240.0,150.0,741.0,704.0,65.0,0.08199999999999999,0.177,0.144,0.307,0.267,0.333,0.411,0.325,85.0,,-10.7,-130.7,30.5,10.3,67.0,95.0,37.0,621.0,162.0,1418.2,981.0,6.22,3.83,1.11,0.314,0.698,0.442,0.113,5.14,4.7,4.59,10.2,67
27,2005.0,Royals,2259.0,6086.0,126.0,701.0,653.0,53.0,0.07,0.166,0.134,0.298,0.263,0.32,0.396,0.313,87.0,,6.3,-91.5,-87.3,2.7,56.0,106.0,25.0,605.0,162.0,1413.1,924.0,5.88,3.69,1.13,0.317,0.665,0.444,0.107,5.56,4.74,4.72,6.1,56
0,2006.0,Mets,2279.0,6291.0,200.0,834.0,800.0,146.0,0.087,0.17,0.181,0.293,0.264,0.334,0.445,0.334,99.0,,20.5,13.8,66.4,28.1,97.0,65.0,43.0,636.0,162.0,1461.1,1161.0,7.15,3.25,1.11,0.284,0.725,0.433,0.11,4.16,4.37,4.34,16.2,97
1,2006.0,Padres,2396.0,6287.0,161.0,731.0,698.0,123.0,0.09,0.17600000000000002,0.154,0.299,0.263,0.332,0.416,0.325,99.0,,5.2,-5.0,65.1,26.1,88.0,74.0,50.0,637.0,162.0,1463.2,1097.0,6.75,2.88,1.08,0.276,0.7390000000000001,0.415,0.10099999999999999,3.88,4.27,4.39,16.4,88
2,2006.0,Phillies,2410.0,6509.0,216.0,865.0,823.0,92.0,0.096,0.185,0.18,0.302,0.267,0.347,0.447,0.341,100.0,,18.5,15.5,34.6,25.9,85.0,77.0,42.0,662.0,162.0,1460.1,1138.0,7.01,3.16,1.3,0.304,0.7190000000000001,0.43700000000000006,0.13,4.61,4.65,4.33,14.2,85
3,2006.0,Blue Jays,2329.0,6241.0,199.0,809.0,778.0,65.0,0.08199999999999999,0.145,0.179,0.306,0.284,0.348,0.463,0.349,107.0,,-15.0,43.6,3.4,25.4,87.0,75.0,42.0,644.0,162.0,1428.1,1076.0,6.78,3.18,1.17,0.292,0.7170000000000001,0.46299999999999997,0.12300000000000001,4.37,4.51,4.3,15.4,87
4,2006.0,Yankees,2430.0,6455.0,210.0,930.0,902.0,139.0,0.10099999999999999,0.163,0.177,0.315,0.285,0.363,0.461,0.356,113.0,,7.4,118.9,-91.9,24.2,97.0,65.0,43.0,651.0,162.0,1443.2,1019.0,6.35,3.09,1.06,0.289,0.703,0.433,0.096,4.43,4.42,4.61,17.3,97
5,2006.0,Braves,2435.0,6284.0,222.0,849.0,818.0,52.0,0.084,0.18600000000000003,0.184,0.304,0.27,0.337,0.455,0.339,100.0,,-13.4,-13.1,48.1,23.7,79.0,83.0,38.0,684.0,162.0,1441.1,1049.0,6.55,3.57,1.14,0.3,0.711,0.45,0.11599999999999999,4.6,4.65,4.53,11.0,79
6,2006.0,Cardinals,2359.0,6225.0,184.0,781.0,745.0,59.0,0.085,0.14800000000000002,0.163,0.292,0.269,0.337,0.431,0.331,98.0,,5.9,-13.3,46.0,23.3,83.0,78.0,38.0,630.0,161.0,1429.2,970.0,6.11,3.17,1.21,0.288,0.725,0.462,0.125,4.54,4.77,4.54,7.8,83
7,2006.0,Twins,2226.0,6228.0,143.0,801.0,754.0,101.0,0.079,0.14,0.138,0.316,0.287,0.347,0.425,0.334,101.0,,-1.4,5.9,13.5,22.7,96.0,66.0,40.0,583.0,162.0,1439.1,1164.0,7.28,2.23,1.14,0.302,0.737,0.43700000000000006,0.113,3.95,3.99,3.93,20.6,96
8,2006.0,Tigers,2214.0,6198.0,203.0,822.0,785.0,60.0,0.069,0.183,0.174,0.31,0.274,0.329,0.449,0.334,99.0,,-1.6,-12.2,23.4,21.8,95.0,67.0,46.0,552.0,162.0,1448.0,1003.0,6.23,3.04,0.99,0.284,0.741,0.455,0.1,3.85,4.32,4.43,18.5,95
9,2006.0,Indians,2135.0,6303.0,196.0,870.0,839.0,55.0,0.08800000000000001,0.191,0.177,0.324,0.28,0.349,0.457,0.347,108.0,,-2.9,62.8,-61.4,21.2,78.0,84.0,24.0,539.0,162.0,1423.1,948.0,5.99,2.71,1.05,0.308,0.7,0.447,0.1,4.43,4.34,4.47,16.4,78
10,2006.0,Dodgers,2384.0,6394.0,153.0,820.0,787.0,128.0,0.094,0.15,0.157,0.307,0.276,0.348,0.432,0.337,101.0,,-4.8,3.4,-2.6,20.7,88.0,74.0,40.0,616.0,162.0,1460.1,1068.0,6.58,3.03,0.94,0.302,0.708,0.478,0.09699999999999999,4.23,4.13,4.29,19.7,88
11,2006.0,Marlins,2354.0,6191.0,182.0,758.0,713.0,110.0,0.08,0.20199999999999999,0.171,0.309,0.264,0.331,0.435,0.329,96.0,,12.6,-18.2,20.0,20.2,78.0,84.0,41.0,600.0,162.0,1433.1,1088.0,6.83,3.91,1.04,0.299,0.72,0.42700000000000005,0.1,4.37,4.59,4.72,12.2,78
12,2006.0,Reds,2335.0,6296.0,217.0,749.0,718.0,124.0,0.098,0.18899999999999997,0.175,0.29,0.257,0.336,0.432,0.332,94.0,,16.4,-36.5,31.1,19.8,80.0,82.0,36.0,638.0,162.0,1445.2,1053.0,6.56,2.89,1.33,0.301,0.721,0.415,0.122,4.53,4.69,4.47,14.7,80
