,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
17,2019.0,Mariners,2347.0,6199.0,239.0,758.0,730.0,115.0,0.095,0.255,0.187,0.287,0.237,0.316,0.424,0.314,98.0,87.4,13.4,0.0,-50.1,16.4,68.0,94.0,34.0,700.0,162.0,1439.1,1239.0,7.75,3.16,1.63,0.291,0.684,0.434,0.16399999999999998,5.0,5.0,4.85,5.8,68
18,2019.0,Padres,2413.0,6019.0,219.0,682.0,652.0,70.0,0.084,0.263,0.172,0.293,0.238,0.308,0.41,0.305,88.0,88.9,-11.1,-109.8,52.5,13.4,70.0,92.0,47.0,705.0,162.0,1432.0,1475.0,9.27,2.91,1.35,0.299,0.7,0.43,0.14800000000000002,4.63,4.22,4.29,15.6,70
19,2019.0,Blue Jays,2354.0,6091.0,247.0,726.0,697.0,51.0,0.084,0.249,0.192,0.28,0.236,0.305,0.428,0.31,92.0,88.7,-7.0,-71.4,-25.7,11.5,67.0,95.0,33.0,753.0,162.0,1440.1,1332.0,8.32,3.77,1.42,0.3,0.718,0.431,0.149,4.79,4.82,4.88,9.1,67
20,2019.0,Reds,2462.0,6100.0,227.0,701.0,679.0,80.0,0.081,0.235,0.178,0.288,0.244,0.315,0.422,0.312,87.0,87.4,-16.7,-117.9,34.4,11.1,75.0,87.0,46.0,697.0,162.0,1438.0,1552.0,9.71,3.35,1.34,0.286,0.737,0.44299999999999995,0.16399999999999998,4.18,4.23,4.1,18.6,75
21,2019.0,White Sox,2311.0,6042.0,182.0,708.0,676.0,63.0,0.063,0.256,0.153,0.329,0.261,0.314,0.414,0.309,93.0,89.1,5.3,-48.0,-52.2,11.0,72.0,89.0,33.0,697.0,161.0,1412.2,1312.0,8.36,3.71,1.52,0.302,0.713,0.43200000000000005,0.159,4.91,4.89,4.81,12.3,72
22,2019.0,Pirates,2441.0,6228.0,163.0,758.0,722.0,64.0,0.068,0.195,0.156,0.309,0.265,0.321,0.42,0.313,92.0,88.3,-4.6,-67.9,-22.1,10.9,69.0,93.0,31.0,712.0,162.0,1440.0,1443.0,9.02,3.65,1.51,0.315,0.6890000000000001,0.42200000000000004,0.157,5.19,4.78,4.72,8.8,69
23,2019.0,Rockies,2452.0,6288.0,224.0,835.0,803.0,71.0,0.078,0.239,0.19,0.321,0.265,0.326,0.456,0.328,86.0,88.6,1.6,-116.3,16.8,10.1,71.0,91.0,28.0,752.0,162.0,1448.2,1264.0,7.85,3.66,1.68,0.308,0.6859999999999999,0.461,0.19,5.58,5.23,4.75,6.7,71
24,2019.0,Giants,2493.0,6170.0,167.0,678.0,655.0,47.0,0.077,0.233,0.153,0.29,0.239,0.302,0.392,0.295,83.0,87.8,-3.4,-143.0,46.1,10.0,77.0,85.0,41.0,749.0,162.0,1469.0,1368.0,8.38,3.18,1.39,0.286,0.726,0.42200000000000004,0.151,4.38,4.55,4.58,7.6,77
25,2019.0,Royals,2269.0,6080.0,162.0,691.0,655.0,117.0,0.075,0.231,0.154,0.301,0.247,0.309,0.401,0.302,84.0,88.0,-1.7,-124.2,5.4,9.3,59.0,103.0,37.0,682.0,162.0,1425.0,1230.0,7.77,3.68,1.4,0.311,0.7020000000000001,0.439,0.147,5.2,4.9,4.98,7.7,59
26,2019.0,Rangers,2273.0,6204.0,223.0,810.0,765.0,131.0,0.086,0.254,0.183,0.304,0.248,0.319,0.431,0.317,88.0,89.4,12.0,-86.8,-37.5,9.2,78.0,84.0,33.0,661.0,162.0,1438.0,1379.0,8.63,3.65,1.51,0.312,0.705,0.418,0.154,5.09,4.84,4.82,14.2,78
27,2019.0,Orioles,2386.0,6189.0,213.0,729.0,698.0,84.0,0.075,0.23199999999999998,0.168,0.293,0.246,0.31,0.415,0.308,88.0,88.0,2.0,-89.6,-63.8,6.4,54.0,108.0,27.0,695.0,162.0,1443.0,1248.0,7.78,3.5,1.9,0.295,0.685,0.405,0.174,5.67,5.56,5.23,5.5,54
28,2019.0,Marlins,2402.0,6045.0,146.0,615.0,593.0,55.0,0.065,0.243,0.134,0.3,0.241,0.298,0.375,0.288,79.0,88.3,-23.9,-195.1,26.3,2.6,57.0,105.0,27.0,701.0,162.0,1444.1,1378.0,8.59,3.83,1.47,0.281,0.722,0.38299999999999995,0.142,4.74,4.89,5.06,5.9,57
29,2019.0,Tigers,2316.0,6039.0,149.0,582.0,556.0,57.0,0.065,0.264,0.148,0.308,0.24,0.294,0.388,0.29,77.0,88.1,-6.8,-186.3,-53.8,-2.6,47.0,114.0,31.0,738.0,161.0,1433.0,1368.0,8.59,3.37,1.57,0.317,0.688,0.42700000000000005,0.159,5.26,4.84,4.75,11.2,47
0,2018.0,Dodgers,2574.0,6358.0,235.0,804.0,756.0,75.0,0.102,0.226,0.191,0.294,0.25,0.333,0.442,0.333,111.0,89.2,11.4,99.1,38.3,34.8,92.0,71.0,48.0,756.0,163.0,1476.0,1565.0,9.54,2.57,1.09,0.284,0.762,0.449,0.134,3.4,3.6,3.52,18.6,92
1,2018.0,Red Sox,2345.0,6302.0,208.0,876.0,829.0,125.0,0.09,0.19899999999999998,0.185,0.309,0.268,0.339,0.453,0.34,110.0,89.8,-5.1,73.1,30.9,32.1,108.0,54.0,46.0,697.0,162.0,1458.2,1558.0,9.61,3.16,1.09,0.294,0.758,0.424,0.11900000000000001,3.75,3.82,3.92,18.3,108
2,2018.0,Yankees,2269.0,6271.0,267.0,851.0,821.0,63.0,0.1,0.22699999999999998,0.202,0.285,0.249,0.329,0.451,0.335,112.0,89.4,14.6,105.0,-4.6,31.7,100.0,62.0,49.0,670.0,162.0,1456.1,1634.0,10.1,3.05,1.09,0.3,0.7390000000000001,0.429,0.129,3.78,3.63,3.61,24.2,100
3,2018.0,Athletics,2403.0,6255.0,227.0,813.0,778.0,35.0,0.08800000000000001,0.221,0.187,0.294,0.252,0.325,0.439,0.329,111.0,89.5,-5.8,77.8,23.0,31.7,97.0,65.0,44.0,740.0,162.0,1465.2,1237.0,7.6,2.91,1.13,0.27,0.735,0.436,0.122,3.82,4.18,4.25,13.6,97
